pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
47862690,1,1,0,0,0,0,0,0
47882704,1,1,0,0,0,0,0,0
47982688,1,1,0,1,0,0,1,0
48022702,2,2,1,0,0,0,0,0
48062708,3,2,0,0,0,0,0,0
48122730,3,3,0,0,1,2,0,1
48202738,2,2,0,0,1,2,0,1
48222780,4,4,1,0,1,0,0,1
48342774,4,4,1,0,1,2,1,1
48442784,4,4,0,0,0,0,0,0
48462776,4,4,1,0,1,0,0,1
48482762,4,4,1,0,3,1,1,1
46562790,4,4,0,0,0,1,0,0
46662780,2,2,0,1,1,0,1,0
46662794,0,0,0,1,1,0,1,1
46722786,3,3,0,0,1,2,0,1
46722792,2,2,1,0,1,0,0,1
46782766,3,3,1,2,0,0,3,2
46782778,3,3,1,0,1,2,1,1
46842852,2,2,1,1,1,0,1,1
46862842,1,1,0,0,1,1,1,1
46942756,3,2,1,1,0,0,2,0
46942842,2,2,0,0,1,2,0,2
46942846,0,0,0,1,1,1,1,0
46942878,0,0,0,1,0,0,1,0
46982766,0,0,0,0,0,0,0,0
47002806,1,1,0,1,0,0,1,0
47002816,0,0,0,2,0,1,2,0
47022848,2,2,0,0,1,2,0,1
47022884,0,0,0,1,1,1,0,0
47042780,3,3,1,1,0,0,1,0
47042788,3,3,1,1,0,0,2,0
47042874,2,2,0,0,0,1,0,0
47082754,4,3,1,2,1,0,2,0
47082776,1,1,0,0,0,0,1,0
47082858,1,1,0,0,1,0,0,0
47102754,3,3,1,3,1,0,2,0
47122762,4,4,0,0,0,0,0,0
47122882,3,3,0,0,1,0,0,0
47182762,3,3,1,2,0,0,2,0
47182802,1,1,0,0,0,0,0,0
47182862,1,1,0,0,1,0,0,0
47202790,2,2,0,0,1,1,1,0
47202848,2,2,0,1,1,0,1,0
47222878,0,0,0,0,0,0,0,0
47242764,3,3,1,2,1,0,2,0
47242774,3,2,1,1,0,0,2,1
47282790,2,2,0,0,1,1,1,0
47302860,0,0,0,1,0,0,0,0
47322802,4,4,0,0,1,1,0,1
47362808,3,3,1,0,1,4,0,2
47362862,2,2,0,0,0,0,0,0
47402780,1,1,1,1,1,0,1,1
47422872,1,1,0,1,1,1,1,0
47462794,1,1,0,0,0,0,0,0
47462830,4,4,1,0,0,1,0,2
47482810,4,4,1,0,1,3,0,2
47482864,3,3,1,1,0,0,1,1
47502772,3,2,2,4,0,2,4,2
47522746,1,1,0,0,0,0,1,0
47522800,1,1,0,0,0,0,0,0
47522858,4,4,1,0,1,1,0,2
47522872,2,2,0,0,1,1,0,1
47582744,3,3,2,3,2,0,2,0
47602836,4,3,1,0,3,0,1,0
47622754,0,1,1,4,1,2,4,1
47642808,2,2,1,0,1,1,1,1
47642862,4,4,1,0,0,0,0,2
47662810,4,4,0,0,0,0,0,1
47662860,4,4,0,0,0,0,0,2
47682754,1,1,1,4,0,2,3,1
47702818,4,4,1,0,0,0,0,1
47722780,3,3,2,3,1,0,3,0
47722816,4,4,1,0,2,0,0,1
47742758,4,3,2,1,2,0,2,1
47742848,4,4,0,0,2,0,0,1
47762734,3,3,2,1,2,1,2,0
47782854,4,4,1,0,0,0,0,2
47802732,2,1,1,1,1,1,1,0
47802746,1,0,1,1,0,1,2,1
47802840,4,4,1,0,2,0,0,1
47822764,4,4,1,1,2,2,1,2
47822830,4,4,0,0,0,0,0,1
47822862,4,4,0,0,0,0,0,1
47862838,4,4,1,0,0,0,0,1
47882830,1,1,0,0,0,0,0,0
47882836,4,4,1,0,0,0,0,1
47942726,2,2,1,1,1,1,2,1
47942784,4,4,0,1,2,0,0,2
47942860,4,4,1,0,0,0,0,1
47942870,4,4,1,0,0,0,0,0
47982796,4,4,1,0,1,1,0,2
47982822,3,3,0,0,0,1,0,1
47982846,4,4,1,0,1,0,1,2
47982850,4,4,1,0,1,1,0,2
48002836,4,4,0,0,2,0,0,0
48002872,3,3,1,0,1,0,0,2
48082834,1,1,0,0,1,0,0,0
48082844,4,4,1,0,0,0,0,1
48122780,4,4,0,0,1,0,0,1
48122798,4,4,1,0,1,0,0,1
48162858,4,4,0,0,0,0,0,1
48182826,4,4,1,0,2,0,0,0
48182862,4,4,1,0,0,0,0,2
48202842,4,4,1,0,1,0,0,0
48222820,3,3,1,0,0,0,0,0
48242800,4,4,0,0,0,0,0,1
48262816,4,4,0,0,1,0,0,0
48282804,4,4,1,1,2,0,1,0
48282866,4,4,1,0,1,1,0,2
45362624,1,1,1,1,0,1,2,1
45382662,2,2,0,0,0,0,0,0
45402624,1,1,1,1,0,1,1,0
45482622,2,1,1,1,1,0,1,0
45542620,1,1,1,1,1,0,2,0
45642652,4,4,1,1,1,0,0,0
45642656,1,1,0,1,0,0,1,0
45682634,0,0,1,2,0,1,2,0
45722612,0,0,2,3,0,1,3,1
45722614,2,2,2,2,1,0,2,1
45842658,1,2,0,1,0,0,1,0
45882618,3,3,1,1,0,0,2,0
45902624,3,3,2,3,1,1,3,0
45962662,1,1,0,1,0,0,1,0
46022620,3,3,1,2,1,0,2,1
46022632,1,1,2,2,0,1,2,1
46062628,1,1,2,2,0,0,2,1
46082614,4,4,1,1,2,0,0,0
46122616,1,1,1,3,0,2,3,1
46182646,2,2,1,1,1,0,2,0
46202640,0,0,1,2,0,1,1,0
46262642,1,0,1,1,0,0,1,0
46342650,1,0,1,1,0,0,1,0
46362660,0,0,0,2,1,1,2,0
46402652,1,1,1,1,0,0,1,1
46422624,2,2,0,0,1,0,0,0
46442642,1,0,0,0,1,2,1,0
46462636,3,3,1,0,0,1,1,0
46482614,2,2,1,0,0,0,1,0
46502658,1,0,0,0,0,2,0,0
46522626,1,1,0,0,0,0,0,0
46522628,2,2,2,2,1,1,3,0
46522640,1,2,0,0,0,0,0,0
46542614,3,3,1,1,1,0,1,0
46562632,3,3,0,0,0,0,0,0
46562646,1,1,1,0,1,0,1,0
46582638,4,4,1,0,1,0,0,0
46602618,3,3,1,1,0,0,1,0
46622648,1,1,1,1,0,0,1,0
46642626,3,3,0,0,1,2,0,0
46682636,4,4,1,1,1,0,1,0
46722638,1,1,0,1,1,0,1,0
46722642,1,1,0,0,1,1,1,0
46762666,0,0,0,2,0,0,1,0
46782664,0,0,1,2,0,0,2,0
46802648,0,0,0,2,1,1,2,0
46842660,0,0,0,2,1,1,2,1
46862662,3,3,0,0,0,0,0,0
46882650,3,3,1,0,0,4,0,2
46882664,2,1,1,0,1,0,0,0
46882668,0,0,0,2,1,1,2,0
46982642,0,0,1,3,0,1,2,1
46982660,1,0,1,1,1,0,1,1
47002640,0,0,1,2,0,1,2,0
47022632,1,0,1,4,0,0,4,0
47022650,1,1,1,2,1,0,2,0
47042630,0,0,1,2,0,1,2,0
47042658,0,0,0,2,1,1,2,0
47082630,0,0,0,2,0,1,2,0
46022704,0,0,0,2,0,1,2,0
46042706,2,2,1,0,1,0,1,0
46102726,3,3,1,1,0,1,1,1
46142734,1,1,0,2,0,0,2,0
46182714,3,3,1,1,0,0,2,0
46202682,0,0,0,1,0,0,1,0
46222728,2,2,2,3,0,2,4,1
46242712,0,0,1,3,1,3,2,0
46262660,0,0,0,2,1,1,2,1
46282726,0,0,2,3,0,2,3,1
46302682,0,0,0,2,1,1,2,0
46362688,0,0,1,4,1,1,3,1
46382686,3,3,1,0,0,0,1,0
46402674,2,2,1,0,1,0,0,0
46402688,3,3,2,1,0,0,2,0
46422672,1,1,2,1,1,3,1,1
46422682,3,3,1,0,0,0,1,0
46422690,0,0,1,3,1,0,3,1
46442684,0,1,0,1,0,0,0,0
46442692,0,1,1,2,0,2,2,1
46442702,0,1,0,2,0,1,2,0
46442710,0,0,1,4,0,3,3,2
46462726,0,0,0,3,0,1,3,0
46502720,0,0,0,2,1,1,2,1
46522674,1,0,2,1,1,1,1,0
46522722,2,2,1,1,0,1,2,0
46562692,0,0,0,2,0,1,2,0
46562722,0,0,0,2,1,0,2,0
46602676,0,0,0,2,1,1,2,1
46602700,1,1,1,0,1,0,1,0
46622668,3,3,1,1,0,1,1,0
46622720,1,1,1,1,1,1,1,0
46642712,0,0,0,2,0,0,2,0
46642736,0,0,0,3,0,0,3,0
46662682,0,0,1,2,1,2,2,0
46682698,1,1,1,1,1,2,1,1
46702674,0,0,0,1,1,0,1,0
46742676,1,1,1,2,1,1,2,1
46762724,3,3,0,0,0,0,1,0
46782690,2,1,1,0,1,0,1,0
46842692,0,0,0,1,0,0,1,0
46842710,1,1,1,0,1,0,1,0
46862694,0,0,1,2,0,1,2,0
46882726,1,1,0,1,0,0,1,0
46942670,0,0,1,3,1,1,2,1
46942692,0,0,0,1,0,0,1,0
46942710,1,0,0,1,0,0,1,0
46962676,3,3,2,1,0,0,2,0
46962682,0,0,2,2,1,2,3,1
46982696,1,1,0,1,0,1,1,0
47042684,2,2,2,1,1,1,2,2
47042738,0,0,1,3,0,0,3,0
47062718,0,0,0,3,0,2,3,0
47082664,0,0,0,2,0,0,2,0
47082720,1,1,0,1,0,0,1,0
47122662,0,0,0,2,0,1,2,0
47122698,0,0,0,2,1,1,2,0
47122706,1,1,1,0,1,1,1,1
47122726,3,3,1,1,0,0,2,0
47162666,1,1,1,0,1,1,1,0
47182690,4,4,1,1,2,0,1,0
47202670,2,2,1,0,1,1,0,1
47202740,0,0,0,1,0,1,1,0
47222654,2,2,1,1,1,0,1,1
47222676,1,1,1,0,1,0,1,0
47242638,1,1,1,1,1,0,0,1
47242740,0,0,0,2,0,1,2,0
47262634,0,0,0,2,0,0,1,0
